"Date","Year","Week","WeekDay","Month","Day","Temp_high","Temp_avg","Temp_low","Rel_Humidity_avg","Abs_Humidity_avg"
2000-01-01,2000,0,6,1,1,26.2643340020441,28.6370630073361,16.113522775704,78.6799492686987,61.9188438914716
2000-01-02,2000,0,7,1,2,1.10438035451807,3.92477092565969,-7.39741984056309,84.1009123716503,85.0774454139173
2000-01-03,2000,1,1,1,3,6.05123745277524,22.7905373740941,-2.92095194105059,61.9854951370507,96.6186790075153
2000-01-04,2000,1,2,1,4,29.253181059612,18.4487906994764,-5.36912543466315,96.5279364120215,79.6064328216016
2000-01-05,2000,1,3,1,5,7.21615598420613,8.03879110841081,8.79286640556529,66.5342377219349,71.7002101615071
2000-01-06,2000,1,4,1,6,-4.81995497015305,3.24913214542903,-4.7751462366432,74.890893260017,77.9659474361688
2000-01-07,2000,1,5,1,7,24.0179166884627,18.1269113882445,-11.6470883763395,97.1844668034464,99.1374750714749
2000-01-08,2000,1,6,1,8,0.362953565781936,20.9056271705776,11.979364042636,93.4355708025396,83.0569662246853
2000-01-09,2000,1,7,1,9,0.902269282378256,25.928686572006,-10.4495664080605,88.9122467301786,83.4764963760972
2000-01-10,2000,2,1,1,10,5.26732776430435,27.5236008572392,-11.5449863160029,72.1730734128505,65.064740376547
2000-01-11,2000,2,2,1,11,6.67997012264095,19.5057557371911,12.0218772569206,75.9693655930459,76.2977507710457
2000-01-12,2000,2,3,1,12,-3.50414586486295,26.1173220037017,14.4901028473396,67.2434941958636,98.6996144428849
2000-01-13,2000,2,4,1,13,22.065741897095,26.4430741290562,-13.5924355243333,93.6261737067252,96.4659598376602
2000-01-14,2000,2,5,1,14,15.9043861774262,14.0581940021366,15.8088421472348,90.9626007918268,82.8395888861269
2000-01-15,2000,2,6,1,15,18.3408489648718,6.02973506553099,19.991160921054,69.4748986978084,70.6285024434328
2000-01-16,2000,2,7,1,16,-1.00475558079779,26.3355693803169,-9.6148510009516,92.2338323108852,82.5693405885249
2000-01-17,2000,3,1,1,17,29.5984900381882,14.1984947503079,7.05751939793117,64.2518970090896,82.8686099033803
2000-01-18,2000,3,2,1,18,9.67270159046166,4.15808198507875,-2.34639085014351,89.2856430727988,64.6677638497204
2000-01-19,2000,3,3,1,19,17.8939452138729,1.67241616523825,-2.25667704246007,61.5079824626446,73.2320894207805
2000-01-20,2000,3,4,1,20,3.55523761478253,9.03100841562264,10.0461932958569,94.2692572902888,70.4079882986844
2000-01-21,2000,3,5,1,21,26.873401387129,11.1578692763578,-3.9799348032102,92.9402642510831,65.3536166530102
2000-01-22,2000,3,6,1,22,4.99290312640369,17.2222145576961,11.5463190688752,70.6482339370996,96.4126646704972
2000-01-23,2000,3,7,1,23,11.2976016267203,-2.28126053581946,-4.84874318353832,79.9394896812737,91.2415330298245
2000-01-24,2000,4,1,1,24,1.30933104432188,21.9052841165103,-13.8069329177961,71.8903695140034,73.9951885025948
2000-01-25,2000,4,2,1,25,20.2754965762142,0.443623809842393,14.320708590094,68.6372325755656,72.566759493202
2000-01-26,2000,4,3,1,26,13.0046075291466,15.1773818128277,-11.6477521671914,85.6829319521785,91.9517721701413
2000-01-27,2000,4,4,1,27,0.0550986372400075,21.2138895853423,2.62867689481936,71.7889045644552,81.942461039871
2000-01-28,2000,4,5,1,28,27.1770211856347,3.52947114384733,1.25369598041289,63.7594915926456,64.2751114722341
2000-01-29,2000,4,6,1,29,19.1028377460316,-2.88627780741081,-12.7586894656997,99.5132434833795,72.4428435228765
2000-01-30,2000,4,7,1,30,7.93060955475084,7.32189854490571,-12.3025206918828,92.6311094127595,75.760791702196
2000-01-31,2000,5,1,1,31,2.9863508453127,10.0328878173605,-9.40532090724446,97.3689995985478,62.0391429495066
2000-02-01,2000,5,2,2,1,27.3985585791524,12.8621616680175,-4.82953096274287,94.7094854712486,66.296076560393
2000-02-02,2000,5,3,2,2,19.6036142169032,22.3301937244833,-1.28126771072857,99.7811606060714,72.7153322845697
2000-02-03,2000,5,4,2,3,9.00773065513931,-2.68204074003734,0.546361072920263,95.1501349918544,92.5023237708956
2000-02-04,2000,5,5,2,4,13.2770359376445,21.8762848433107,-11.7916700686328,67.7617829944938,96.4455599337816
2000-02-05,2000,5,6,2,5,24.207550373394,9.44589243154041,13.5315577848814,65.2194346021861,86.6160003654659
2000-02-06,2000,5,7,2,6,17.8264041931834,18.9537667459808,16.8401705857832,74.0446314960718,73.0139112845063
2000-02-07,2000,6,1,2,7,3.80421411711723,16.1951360967942,11.2144075077958,80.9929991234094,99.0826178435236
2000-02-08,2000,6,2,2,8,29.7757916583214,14.9618587607983,14.6896183339413,88.3501508552581,67.5499650184065
2000-02-09,2000,6,3,2,9,5.00918865669519,22.4444998602849,12.974221665645,93.553905999288,95.4557477682829
2000-02-10,2000,6,4,2,10,24.2968412686605,17.7948434138671,8.92778228735551,82.1959786023945,63.787708170712
2000-02-11,2000,6,5,2,11,16.0919592145365,24.6007127512712,-12.6622457790654,77.0003517530859,98.9091187156737
2000-02-12,2000,6,6,2,12,28.2014156924561,25.167545278091,1.00065520964563,71.6813271213323,98.9850257523358
2000-02-13,2000,6,7,2,13,18.3107215748169,15.434166463092,9.72013499354944,60.0504161044955,78.9720349851996
